(sire x dam),ID,M,Aa,Ad,Xa,Xd,Ya,Ca,Mea,Med,AaAa,AaAd,AdAd,XaAa,XaAd,XdAa,XdAd,YaAa,YaAd,YaXa,CaAa,CaAd,CaXa,CaXd,CaYa
P1:daughters,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
P1:sons,2,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1
P1:mixed,3,1,1,0,1,0,0.5,1,1,0,1,0,0,1,0,0,0,0.5,0,0.5,1,0,1,0,0.5
P2:daughters,4,1,-1,0,-1,0,0,-1,-1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
P2:sons,5,1,-1,0,-1,0,-1,-1,-1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1
P2:mixed,6,1,-1,0,-1,0,-0.5,-1,-1,0,1,0,0,1,0,0,0,0.5,0,0.5,1,0,1,0,0.5
F1 (P2xP1):daughters,7,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
F1 (P2xP1):sons,8,1,0,1,1,0,-1,1,1,0,0,0,1,0,1,0,0,0,-1,-1,0,1,1,0,-1
F1 (P2xP1):mixed,9,1,0,1,0.5,0.5,-0.5,1,1,0,0,0,1,0,0.5,0,0.5,0,-0.5,-0.25,0,1,0.5,0.5,-0.5
rF1 (P1xP2):daughters,10,1,0,1,0,1,0,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,-1,0
rF1 (P1xP2):sons,11,1,0,1,-1,0,1,-1,-1,0,0,0,1,0,-1,0,0,0,1,-1,0,-1,1,0,-1
rF1 (P1xP2):mixed,12,1,0,1,-0.5,0.5,0.5,-1,-1,0,0,0,1,0,-0.5,0,0.5,0,0.5,-0.25,0,-1,0.5,-0.5,-0.5
F2a (F1xF1):daughters,13,1,0,0.5,0.5,0.5,0,1,0,1,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0.5,0.5,0.5,0
F2a (F1xF1):sons,14,1,0,0.5,0,0,-1,1,0,1,0,0,0.25,0,0,0,0,0,-0.5,0,0,0.5,0,0,-1
F2a (F1xF1):mixed,15,1,0,0.5,0.25,0.25,-0.5,1,0,1,0,0,0.25,0,0.125,0,0.125,0,-0.25,-0.125,0,0.5,0.25,0.25,-0.5
F2b (rF1xF1):daughters,16,1,0,0.5,-0.5,0.5,0,1,0,1,0,0,0.25,0,-0.25,0,0.25,0,0,0,0,0.5,-0.5,0.5,0
F2b (rF1xF1):sons,17,1,0,0.5,0,0,1,1,0,1,0,0,0.25,0,0,0,0,0,0.5,0,0,0.5,0,0,1
F2b (rF1xF1):mixed,18,1,0,0.5,-0.25,0.25,0.5,1,0,1,0,0,0.25,0,-0.125,0,0.125,0,0.25,-0.125,0,0.5,-0.25,0.25,0.5
rF2b (F1xrF1):daughters,19,1,0,0.5,0.5,0.5,0,-1,0,1,0,0,0.25,0,0.25,0,0.25,0,0,0,0,-0.5,-0.5,-0.5,0
rF2b (F1xrF1):sons,20,1,0,0.5,0,0,-1,-1,0,1,0,0,0.25,0,0,0,0,0,-0.5,0,0,-0.5,0,0,1
