,max(waic),waic1/waic2,M,Aa,Ad,AaAa,AaAd,AdAd,Mea,Med,Ca,CaAa,CaAd,,
ban.osa,0.192,1.59,48.71±6.92,-2.98±3.75,1.86±7.68,-22.21±7.58,-4.49±6.45,-27.23±8,2.16±2.65,-4.64±3.58,-0.21±0.61,0.11±0.39,2.37±2.82,,
,,,58.99,-1.88,-38.12,-30.50,-,-,-,-,-,-,-,,
col.ban,0.508,11.34,33.85±7.55,-18.27±6.66,6.08±10.73,-15.67±8.51,24.67±14.47,-2.2±5.19,10.27±3.18,-10.87±3.8,-0.11±0.32,0.02±0.25,0.21±0.79,,
,,,21.74,-23.29,17.75,-,32.94,-,11.69,-7.41,-,-,-,,
dar.bho,0.101,1.71,63.92±24.78,0.51±1.24,-38.64±37.24,-30.62±25.85,8.45±11.85,6.19±13.57,0.34±0.85,-7.42±7.44,-0.48±1,0.93±2.35,-0.85±1.84,,
,,,78.47,-,-51.65,-45.21,14.02,-,-,-12.95,-,-,-,,
nig.sing,0.072,1.35,81.26±6.59,5.1±6.98,-4.28±8.62,1.61±3.78,-1.31±4.67,-3.32±7.17,-1.32±2.84,0.87±2.12,0.08±0.56,-25.04±6.12,-0.05±0.98,,
,,,36.69,22.18,71.82,23.11,-18.53,-39.72,-7.76,16.14,-1.79,-,-,,
pm.sin,0.06,2.17,41.92±13.22,-1.96±3.68,9.9±15.51,-5.31±9.39,-21.72±25.57,4.7±8.97,-1.64±3.01,25.5±8.63,-1.76±2.96,5.53±9.93,-0.08±1.28,,
,,,42.62,-,-,-,-26.47,18.03,-6.32,2517.00,-,-,-,,
nig.cro,0.381,8.75,61.26±5.16,-40.07±29.25,-0.71±2.93,-8.95±9.2,106.47±40.39,-1.28±2.9,12±10.06,2.06±3.54,18.95±15.55,-0.94±2.03,-36.17±30.47,,
,,,65.88,-21.81,-1.25,-17.67,77.54,-17.31,7.68,3.11,1.07,-,-,,
