"","Aa","Ad","Ca","Mea","Med","AaAa","AaAd","AdAd","CaAa","CaAd"
"1","5","5","0","0","-4.92875521925213","0","0","0","0","0"
"2","0","0","-5","0","0","4.99999999999999","4.99999999999999","0","0","0"
"3","0","0","0","0","5","-5","0","0","0","5"
"4","0","5.48856519129651","0","0","0","0","0","0","0","0"
"5","5","0","0","0","-4.77398510995773","-5.00000000000001","0","0","0","0"
"6","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","-5","0","0","0","5","-5"
"8","0","0","5","5","0","0","0","-5","0","0"
"9","0","0","0","0","0","0","-4.99999999999998","0","-5","5"
"10","-5","0","0","0","0","0","0","5","-5","0"
"11","0","0","0","0","-5.07732746241907","4.84534507516187","0","5.15465492483813","0","0"
"12","0","0","0","-5","0","0","0","0","5","5"
"13","0","-4.99999999999999","0","-5","0","4.99999999999999","0","0","0","0"
"14","0","0","4.03632571126141","0","5.96367428873859","0","4.99999999999999","0","0","0"
"15","0","0","0","0","-0.943851671995366","13.1122966560093","0","-3.11229665600928","0","0"
"16","5","0","0","0","-5","0","4.99999999999999","0","0","0"
"17","0","0","0","0","-5","5","0","0","0","-5"
"18","0","0","0","0","0","0","0","0","-2.33951623213188e-16","0"
"19","5","0","0","0","0","0","-4.99999999999999","0","0","-5"
"20","0","0","-4.91812702499807","0","0","0","4.99999999999998","0","-4.91812702499806","0"
"21","0","0","0","0","6.10722851056029","-2.78554297887942","0","2.78554297887943","0","0"
"22","0","0","0.398099244147274","0","-0.39809924414727","-5","0","0","0","0"
"23","0","-9.99999999999999","0","0","0","0","0","0","0","0"
"24","0","0","0","0","-5","0","-5","0","0","-5"
"25","0","0.225788054766095","0.225788054766095","0","0","0","0","0","0.225788054766095","0"
"26","0","-5","0","0","0","5","-5","0","0","0"
"27","-5","0","0","0","0","0","-5","0","5","0"
"28","0","0","0","-4.06355324536576","0","0","5.00000000000001","5","0","0"
"29","0","0","0","0","2.69019449914276e-16","0","0","5","0","0"
"30","5","-5","0","0","0","0","-5.00000000000001","0","0","0"
"31","0","0","0","-9.34176006333277","0.658239936667234","-5","0","0","0","0"
"32","-5","0","-9.50326352945494","0","-0.496736470545062","0","0","0","0","0"
"33","0","5.00000000000001","-0.61562361054309","-9.38437638945691","0","0","0","0","0","0"
"34","0","5","-4.92366112958429","-5.07633887041572","0","0","0","0","0","0"
"35","0","0","0","4.33534754409305","0","0","4.99999999999998","0","-5","0"
"36","0","0","4.65480647389913e-17","1.17732037771616e-17","0","0","0","-5.26634110979664","0","0"
"37","0","0","0","0","-5","0","5","0","0","-5"
"38","0","0","0","-5","5","5","0","0","0","0"
"39","0","0","0","0","4.40597575575331","0","5","0","0","5"
"40","0","0","5","0","0","0","-5","0","0","-5.00000000000001"
"41","0","0","0","0","0","0","5","0","-5","5"
"42","0","-5","0","0","0","0","0","-5","5","0"
"43","0","0","-4.41022024568752","0","0","0","0","-6.17955950862495","5.58977975431248","0"
"44","0","0","-1.60656700395896","0","1.60656700395896","0","0","0","5","0"
"45","0","0","0","0","0","5","0","0","0","0"
"46","0","-4.78516260508516","-4.78516260508516","0","0","5","0","0","0","0"
"47","0","5.35808834760453","0","0","-4.9283823304791","0","0","4.85676466095818","0","0"
"48","0","0","0","0","0","0","0","0","0","4.16571980985066e-18"
"49","4.99999999999999","0","0","0","0","4.99999999999999","0","0","5","0"
"50","5","0","0","0","-4.69571252841637","0","0","-5","0","0"
"51","0","-5.00000000000001","0","0","0","0","5","0","-5","0"
"52","0","0","-3.78382534065127","0","0","0","0","-5","5","0"
"53","0","-1.82447844579574","8.08613980690895","0","0","0","0","0","-1.82447844579574","0"
"54","-5","0","0","0","0","0","0","5","0","-5"
"55","0","4.99999999999999","0","0","0","-5.00000000000001","0","0","0","5"
"56","-5.00000000000001","0","0","0","0","0","5.00000000000003","0","4.99999999999999","0"
"57","0","-3.67092729813283","5","0","0","-4.46837091925313","0","0","0","0"
"58","0","-10","0","0","0","0","0","0","-5.22019515610835e-15","0"
"59","-5","0","0","0","0","-4.99999999999998","0","0","4.99999999999999","0"
"60","0","0","0","-4.4391849593069","0","5.00000000000001","5","0","0","0"
"61","0","5","-0.118865976069433","0","0.118865976069434","0","0","0","0","0"
"62","0","0","0","0","-4.78704752708646","-5","4.99999999999999","0","0","0"
"63","0","0","0","0","0","0","-5","-5","-5","0"
"64","0","5","0","0","10","0","0","0","0","0"
"65","0","0","-0.312447050651218","0","0.312447050651219","0","5","0","0","0"
"66","-5","0","0","0","5","0","-5","0","0","0"
"67","5","0","0","5","0","0","0","0","5","0"
"68","0","0","0","0","0","0","5","5","0","-5"
"69","0","0","0.0882000608961951","9.9117999391038","-0.0882000608961948","0","0","0","0","0"
"70","0","0","0","5","-5","0","0","0","-5","0"
"71","0","1.52183195072196e-16","0","0","0","0","0","0","2.19649072391655e-16","0"
