"","Aa","Ad","Ca","Mea","Med","AaAa","AaAd","AdAd","CaAa","CaAd"
"1","1.70090347892498e-15","3.52477290897061e-15","0","0","0.140459233982212","0","0","0","0","0"
"2","0","0","2.16207246493033e-15","0","0","5.05188124235676e-15","1.05322042973242e-14","0","0","0"
"3","0","0","0","0","3.29259876992436e-15","2.37196831120377e-15","0","0","0","1.78145605974568e-15"
"4","0","10.9210203474516","0","0","0","0","0","0","0","0"
"5","2.88133855822227e-15","0","0","0","0.431596687876209","5.84494864653592e-15","0","0","0","0"
"6","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","1.75232893914451e-15","0","0","0","1.79332160301263e-15","1.39778040255386e-15"
"8","0","0","3.8344110503913e-15","4.40486856354346e-15","0","0","0","1.85164338402162e-15","0","0"
"9","0","0","0","0","0","0","2.22959411909752e-14","0","1.1781523973095e-14","5.29353657072797e-15"
"10","3.12008313876707e-15","0","0","0","0","0","0","5.11816945953326e-15","4.46364628994339e-15","0"
"11","0","0","0","0","0.271213495590119","0.542426991180231","0","0.542426991180232","0","0"
"12","0","0","0","1.82884786685017e-15","0","0","0","0","2.30390021696578e-15","2.67871114090584e-15"
"13","0","1.8112385291498e-14","0","3.74801200811582e-15","0","1.77118339270802e-14","0","0","0","0"
"14","0","0","2.95071960900862","0","2.95071960900862","0","9.5765378430029e-15","0","0","0"
"15","0","0","0","0","1.17501856100798","2.35003712201595","0","2.35003712201594","0","0"
"16","1.7680586745127e-15","0","0","0","1.96098863609095e-15","0","7.84162775701598e-15","0","0","0"
"17","0","0","0","0","9.35908548320385e-15","1.60032920531254e-14","0","0","0","1.01019471319149e-14"
"18","0","0","0","0","0","0","0","0","5.54432560361326e-16","0"
"19","7.09124382058292e-15","0","0","0","0","0","2.60174059788831e-14","0","0","6.98976938083351e-15"
"20","0","0","0.161064676389593","0","0","0","2.01743518082028e-14","0","0.161064676389594","0"
"21","0","0","0","0","1.23369304144253","2.46738608288507","0","2.46738608288507","0","0"
"22","0","0","0.732805285018289","0","0.732805285018289","3.48109120489263e-15","0","0","0","0"
"23","0","6.14424543243415e-15","0","0","0","0","0","0","0","0"
"24","0","0","0","0","4.06911987746917e-15","0","1.31566401265533e-14","0","0","3.70471426841959e-15"
"25","0","0.431184011262167","0.431184011262167","0","0","0","0","0","0.431184011262168","0"
"26","0","5.80610557695262e-15","0","0","0","6.15920850785217e-15","5.62166852237475e-15","0","0","0"
"27","0","0","0","0","0","0","0","0","0","0"
"28","0","0","0","1.52212049956248","0","0","1.51968408316213e-14","5.61723256980307e-15","0","0"
"29","0","0","0","0","9.25035374318888e-16","0","0","9.23553514886225e-15","0","0"
"30","3.09217776393768e-15","3.82803472701581e-15","0","0","0","0","1.2259515918512e-14","0","0","0"
"31","0","0","0","1.14316794764499","1.14316794764499","1.65512492497578e-15","0","0","0","0"
"32","2.76249877574838e-15","0","0.944123516856209","0","0.944123516856211","0","0","0","0","0"
"33","0","6.37571836272989e-15","1.13451693800442","1.13451693800442","0","0","0","0","0","0"
"34","0","4.01528635367484e-15","0.443274077735927","0.443274077735936","0","0","0","0","0","0"
"35","0","0","0","1.15259975695665","0","0","1.64615896583463e-14","0","5.93317658849139e-15","0"
"36","0","0","2.07272114646856e-16","6.9271512372815e-17","0","0","0","0.518494702239741","0","0"
"37","0","0","0","0","2.01056948545881e-15","0","5.17831722702726e-15","0","0","1.68178135143083e-15"
"38","0","0","0","9.23340605264547e-16","2.1597302975285e-15","2.0520597159029e-15","0","0","0","0"
"39","0","0","0","0","1.04690256739224","0","2.68619105530401e-14","0","0","6.16092236263706e-15"
"40","0","0","3.54355377039636e-15","0","0","0","1.457505685167e-14","0","0","5.52254554734761e-15"
"41","0","0","0","0","0","0","4.92632530503318e-15","0","2.41507403727544e-15","1.30567035157454e-15"
"42","0","1.65971139903569e-14","0","0","0","0","0","1.22982248855373e-14","3.46099107804e-15","0"
"43","0","0","1.0404234451862","0","0","0","0","2.08084689037239","1.0404234451862","0"
"44","0","0","2.18071099263405","0","2.18071099263405","0","0","0","3.09628119508946e-16","0"
"45","0","0","0","0","0","3.23383576337844e-15","0","0","0","0"
"46","0","0.411212747328178","0.411212747328168","0","0","6.64649857198165e-15","0","0","0","0"
"47","0","0.999013078385244","0","0","0.199802615677048","0","0","0.399605231354095","0","0"
"48","0","0","0","0","0","0","0","0","0","1.71815585440205e-16"
"49","2.86289179544561e-15","0","0","0","0","6.67876173044935e-15","0","0","4.35840959282196e-15","0"
"50","2.99157327879619e-15","0","0","0","0.57153859702216","0","0","4.21817162279025e-15","0","0"
"51","0","2.00313615850443e-14","0","0","0","0","2.18557571470853e-14","0","1.48179597218303e-14","0"
"52","0","0","1.84071699788066","0","0","0","0","3.72432305973352e-15","4.81621555591567e-15","0"
"53","0","2.31746825192218","2.43100171795765","0","0","0","0","0","2.31746825192218","0"
"54","7.82089543386768e-15","0","0","0","0","0","0","1.04163610153668e-14","0","7.69892272134544e-15"
"55","0","1.3009341607455e-14","0","0","0","1.12005892792223e-14","0","0","0","3.42708849081209e-15"
"56","1.10789298545683e-14","0","0","0","0","0","4.48798993689934e-14","0","1.13686025441341e-14","0"
"57","0","1.95157170499495","9.8524526921429e-16","0","0","0.780628681997978","0","0","0","0"
"58","0","3.40970868236512e-15","0","0","0","0","0","0","2.46295096001064e-15","0"
"59","5.74726369091337e-15","0","0","0","0","1.51350555530745e-14","0","0","1.22594331363184e-14","0"
"60","0","0","0","0.995824677439159","0","8.83223330726593e-15","2.23147042600063e-14","0","0","0"
"61","0","5.49342959237919e-15","0.232080304032091","0","0.232080304032092","0","0","0","0","0"
"62","0","0","0","0","0.407765443539083","3.59684918696749e-15","1.00825895241839e-14","0","0","0"
"63","0","0","0","0","0","0","1.06539156636813e-14","5.24885538216613e-15","4.71123837118478e-15","0"
"64","0","5.23865027080527e-15","0","0","5.0572434283865e-15","0","0","0","0","0"
"65","0","0","0.585844837518179","0","0.585844837518179","0","1.44842057237521e-14","0","0","0"
"66","7.49136497920689e-16","0","0","0","1.29253956493507e-15","0","3.47039478159496e-15","0","0","0"
"67","3.04237679653097e-15","0","0","2.14846646082987e-15","0","0","0","0","2.32785490907563e-15","0"
"68","0","0","0","0","0","0","4.68826320428095e-15","3.07060534599471e-15","0","1.7760201297069e-15"
"69","0","0","0.174844271643971","0.174844271643977","0.174844271643971","0","0","0","0","0"
"70","0","0","0","1.49839917830156e-15","4.26490891916526e-15","0","0","0","3.41470202613569e-15","0"
"71","0","2.14185523712976e-16","0","0","0","0","0","0","2.24700811822801e-16","0"
"72","0","3.02099043678141e-14","2.35455472062482","0","0","0","0","2.61392498460108e-14","0","0"
"73","0","0","0","0","0","0","0","0","0","0"
"74","0","0","0","0","0","0","0","0","0","0"
"75","0","0","0","0.214082722214873","0.214082722214873","0","1.07954430991908e-14","0","0","0"
"76","2.35467729413824","0","0","0","0","0","0","1.41120292528114e-14","2.35467729413824","0"
"77","0","10.3573321770597","0","0","0","0","0","0","1.83233721890335","0.729793024094811"
"78","0","0","0","0","0.162703268337403","0.325406536674804","0","0.325406536674805","0","0"
"79","0","0","0.454670335214629","0","0","0","0","0","2.43412188692552e-15","3.56730471419361e-15"
"80","3.57283432653532e-15","0","0","0","0","0","1.40639121671685e-14","0","0","3.41568370735325e-15"
"81","0","4.75695396405943e-15","1.19346384516627","1.19346384516627","0","0","0","0","0","0"
"82","0","0","0","0","1.81278459509791","1.37940609169523e-14","0","0","0","8.74570559299204e-15"
"83","1.18877165942207","0","1.18877165942207","0","0","0","0","0","0","1.18877165942207"
"84","2.87873314470883e-15","0","0","0","0","0","0","4.84449263359054e-15","0","2.88573722957923e-15"
"85","0","0","1.46866886338299","0","0","0","0","8.4126694469011e-15","0","0.407300428700564"
"86","4.34961027099076e-15","6.96795446611586e-15","0","0","0","0","1.88640441672933e-14","0","0","0"
"87","0","3.08978961825706e-15","0","9.02930366844138e-16","0","0","0","0","2.03586389212953e-15","0"
"88","8.48604637576705e-15","0","0","0","0","0","2.60424781295375e-14","0","0","9.65220856828832e-15"
"89","0","0","0","0","0","3.95851250714264e-16","1.23013534186965e-15","0","0","3.17968100138537e-16"
"90","0","0","2.43127085827058e-15","0","3.92944513057204e-15","0","1.12989347993965e-14","0","0","0"
"91","0","2.37963358702561e-15","0","0","0","0","0","0","0","0"
"92","2.18487335459783e-15","0","0","0","0","0","0","4.90175874838866e-15","3.86011099720372e-15","0"
"93","3.9676881314301e-15","0","0","2.70022724411763e-15","0","4.02600955483106e-15","0","0","0","0"
"94","0","0","0","3.44502391914585e-15","0","1.20770597765225e-14","0","1.16633386637182e-14","0","0"
"95","1.41093936152978e-14","0","9.2741865718231e-15","0","0","0","0","9.80727097991985e-15","0","0"
"96","0","0","0","4.15158441967495e-15","0","0","0","0","4.59432649278412e-15","6.24462953777774e-15"
"97","0","0","0","0","3.38616410278309e-15","3.45316223852427e-15","0","3.89972413278057e-15","0","0"
"98","1.25579306102805e-16","1.01095376438231e-15","0","0","0","0","0","0","0","0"
"99","0","0","0","3.4850214923276e-15","0","7.40900340821419e-15","0","0","0","7.50229020605112e-15"
"100","0","0","0","7.63598594009629e-16","0","1.90824543116088e-15","0","0","0","0"
"101","9.74379983638364e-15","0","0","0","0","0","4.02057424557354e-14","1.15106835758751e-14","0","0"
"102","0","0","0.760638353631415","0","0","0","0","3.80424852910789e-15","3.84952080932603e-15","0"
"103","0","0","0","0.167279397027159","0","0","0","0.334558794054319","0.16727939702716","0"
"104","0","0","8.8594494003954e-17","0","0","0","0","0","0","0"
"105","0","1.74211706931808e-14","0","0","0","1.53827545487175e-14","0","0","0","6.76526280473073e-15"
"106","0","0","0","0.478423793129446","0.478423793129446","5.28565569671262e-15","0","0","0","0"
"107","2.49992667899342","0","2.49992667899342","0","0","0","0","0","0","2.49992667899342"
"108","0","7.17798486128709e-14","0","0","0","0","0","3.90096069941211e-14","0","0"
"109","0","0","0","0","0","0","0","0","0","0"
"110","0.979296564730654","0","0","0","0","1.32949431504642","0","1.32949431504642","0","0"
"111","7.28807854309406e-15","0","0","0","0","1.88810242034856e-14","0","1.97603394830974e-14","0","0"
"112","0","0","0","0","0","1.10717788739551e-14","0","0","1.04487936723797e-14","1.01011246766392e-14"
"113","0","0.817500300783898","0","0.817500300783897","0","0","0","0","0.817500300783898","0"
"114","0","2.4118697590179","2.4118697590179","0","0","7.20613604211341e-15","0","0","0","0"
"115","3.53603309678461e-16","0","0","0","0","0","0","0","0","0"
"116","0","0","6.74092551946429e-16","0","0","2.64768669572908e-15","0","0","2.03612420775532e-15","0"
"117","0","0","1.67976996941999","0","0","0","0","0","1.67976996941999","1.67976996941999"
"118","1.33557314593233","1.33557314593234","0","0","1.33557314593234","0","0","0","0","0"
"119","0","9.09458397020618e-15","0","0","0","5.87274349671095e-15","0","0","4.88958257823318e-15","0"
"120","0","0","0","6.55585828670102e-15","0","0","0","0","6.28370858348094e-15","1.25412702376679e-14"
"121","0","0","0","0.616840896300737","0","0","1.76387243181062e-14","0","0","6.60017966469496e-15"
"122","0","0","0","3.32868835597024e-15","0","8.52183250255704e-15","0","0","0","6.78528163712328e-15"
"123","0","0","4.19282726040026e-16","0","0","0","0","0","3.88986041699293e-15","0"
"124","0","0","3.94604206628333","3.94604206628334","3.94604206628333","0","0","0","0","0"
"125","2.2401658550037e-15","0","0","0","0","0","0","0","0","0"
"126","0","1.99448077816124e-14","0","2.47924792798061","0","1.19680822561489e-14","0","0","0","0"
"127","0","0","2.55449930361412e-15","0","0","5.7595302853984e-15","1.85649076188586e-14","0","0","0"
"128","4.45092614076703e-15","0","0","3.37642204533548e-15","0","0","0","5.09725680943705e-15","0","0"
"129","0","0.465897279749255","0.465897279749254","0","0","0","0","0","0","0.465897279749246"
"130","0","0","0","0.915228031179503","0.915228031179502","0","0","0","2.24411208574074e-15","0"
"131","0","9.71423699096773","0","0","1.94284739819355","0","0","3.8856947963871","0","0"
"132","0","1.93877912451168","2.15150952750667","0","0","0","0","3.03612968958561e-14","0","0"
"133","1.51564316926189","1.5156431692619","0","0","0","0","0","0","0","1.51564316926189"
"134","0","0","0","0","0","0","0","0","0","1.43011262306885e-15"
"135","0","0","0","0","0","0","0","0","0","2.25264656893956e-15"
"136","1.77162424958299e-15","0","0","0","0","2.98141608924e-15","0","0","0","2.01278924301809e-15"
"137","0","0","0","0","6.01742255426178e-15","0","1.52509383572979e-14","5.81383704856976e-15","0","0"
"138","0","1.98456478506986","0","0","0","0.793825914027946","0","0","0.39691295701397","0"
"139","0","0","0","0","6.42635566727764e-15","7.87131946568915e-15","1.89633258564743e-14","0","0","0"
"140","0","1.98685856464787e-14","0","0","0","7.99976739365429e-15","0","1.20209678200475e-14","0","0"
"141","9.76996261670139e-15","0","0","0.358698512371385","0","0","9.76996261670139e-15","0","0","0"
"142","1.65241566284823","0","1.65241566284823","0","0","0","2.41044987741134e-14","0","0","0"
"143","0","0","0.789807119705385","0","0","0","2.6535744542599e-14","0","7.63345542026943e-15","0"
"144","0","0","0.211436213492825","0.211436213492825","0","0","4.52808769221389e-14","0","0","0"
"145","0","0","0","0.304229746766362","0","8.20363079722679e-15","0","0","0","7.40618716840841e-15"
"146","0","0","2.92527760047031","0","0","0.964497790166072","0","0.964497790166072","0","0"
"147","1.73193596848438e-15","0","0","0","1.54026886581569e-15","2.17418721278067e-15","0","0","0","0"
"148","1.78220245766262","0","2.34525786117238","0","0","0","0","2.19272757530102e-14","0","0"
"149","4.51231713713491e-15","0","0","0","5.41618832211415e-15","0","0","0","0","5.49897378720316e-15"
"150","0","0","3.22768571396272e-15","0","0","0","0","0","2.96994068812498e-15","4.58191677896353e-15"
"151","0","6.61256392457613e-14","0","7.24786503731953e-15","0","0","0","5.61302141447958e-14","0","0"
"152","0","8.84772962027608","0","0","1.76954592405521","0","0","3.53909184811042","0","0"
"153","0","0","0","0.386223290849817","0","0","0","0","0.386223290849817","0.386223290849817"
"154","0","0","0","0","0","0","1.45896280956704e-14","0","4.19492458194928e-15","2.92748072021002e-15"
"155","0","0","0","8.89265402592455e-16","0","1.80370160754761e-15","5.46671547108876e-15","0","0","0"
"156","5.09547486770993e-15","0","0","0","0","0","0","1.20028930265601e-14","0","9.58771330155113e-15"
"157","0","1.12299670341331e-14","0","0","0","0","1.30969042753038e-14","0","0","3.70416920749166e-15"
"158","1.19108354774817e-14","0","0","0.372527325023321","0","0","3.52122659912788e-14","0","0","0"
"159","0","0","0","2.49598576724898","0","0","0","0","2.49598576724898","2.49598576724898"
"160","0","5.90652521557538","0","0","0","0","0","2.36261008623015","1.18130504311507","0"
"161","0","0","0","0","1.80103772959723","0","0","0","4.53681482950466e-15","3.97461085051415e-15"
"162","0","0","0.796480806375323","0","0","0","0","2.27571963155445e-14","1.65681337920175e-14","0"
"163","4.23103106284393e-15","0","0","0","0","0","0","5.89939717453907e-15","4.65502137982495e-15","0"
"164","0","0","1.26174781018719","1.26174781018719","0","9.73843751579729e-15","0","0","0","0"
"165","0","0.90249478954994","0","0","0","0","0","0.360997915819981","0.180498957909986","0"
"166","0","0","0.466508048220647","0","0","9.39643542341371e-15","0","0","8.43414348317474e-15","0"
"167","0","3.64240044180301e-15","5.07576016067719e-16","7.07662727104485e-16","0","0","0","0","0","0"
"168","3.10311471280079e-15","0","0","0","4.40713840239927e-15","0","1.35791467514306e-14","0","0","0"
"169","4.59349027835164e-15","0","0","0","0","0","0","3.94771616982171e-15","0","5.88910964575119e-15"
"170","0","0","0","0","3.19573412657443e-15","3.40612298392684e-15","8.48761924158407e-15","0","0","0"
"171","0.772608291234628","0","0.772608291234628","0","0","0","0","4.88345244014392e-15","0","0"
"172","6.11119466728856e-15","0","0","0","0","0.327152972227258","0","0.327152972227259","0","0"
"173","2.66664377432031e-15","4.65477093173461e-15","0","0","0","0","1.02084229397364e-14","0","0","0"
"174","0","7.98514727035232e-15","0","0","0","7.78083413302208e-15","0","0","0","2.73305674737281e-15"
"175","2.06862702781725","2.06862702781726","0","0","0","0","0","0","0","2.06862702781725"
"176","3.63797927085036e-15","0","0","0","0","4.70159910717409e-15","1.26574677869945e-14","0","0","0"
"177","2.35003712201595","2.35003712201594","1.62886790601668e-15","0","0","0","0","0","0","0"
"178","0","0","0","2.8897858726686","2.8897858726686","0","0","5.71959107810533e-15","0","0"
"179","0","0","0","0","0","1.05486988365443e-14","1.45296183163763e-14","1.23492531590518e-14","0","0"
"180","0","0","0","0","1.06326923559614e-14","0","2.52544062304588e-14","0","0","5.70363664008916e-15"
"181","0","0.432452703361386","0","0","0","8.25280635858963e-15","0","0","0","0.432452703361386"
