"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",10,9.99999999999999,8.62425655665244,7.29560224529061,9.14071093526035,10,10,10,10,10
"2",9.99999999999999,9.99999999999998,9.61492537585126,9.94460945564271,2.57326078589179,10,10,10,10,10
"3",10,10,9.51170645936691,9.68050367662337,0,10,9.99999999999999,10,10,10
"4",10,9.99999999999998,1.40217170516515,9.91179993910381,9.80631107164245,9.99999999999999,9.99999999999999,9.99999999999999,10,10
"5",10,10,6.56780703288153,10,5.90028199787734,9.99999999999999,10,10,10,10
"6",10,10,9.99999999999999,9.81414694921799,10,10,9.99999999999999,9.99999999999999,10,10
"7",9.99999999999999,9.99999999999999,9.85425074641532,10,9.92775881205259,10,10,10,10,10
"8",10,9.99999999999999,9.86570790852752,9.2771532597886,7.86233399669663,10,10,9.99999999999999,10,10
"9",10,9.99999999999999,5,8.75180352709853,9.33504436699986,10,10,10,10,10
"10",9.09452758596818,10,9.60564847737778,8.58485602631438,10,10,10,10,10,10
"11",10,8.83974768257778,6.79403949799336,8.71112937067678,3.61204602058464,10,10,10,10,10
"12",10,9.99999999999999,9.99999999999999,7.29560224529061,10,10,9.99999999999999,9.99999999999999,10,10
"13",9.99999999999999,10,10,8.7730352022661,10,10,9.99999999999999,10,10,9.99999999999999
"14",10,9.99999999999999,6.66428153253343,9.99999999999999,10,9.99999999999999,9.99999999999999,10,9.99999999999999,10
"15",10,8.83974768257778,0,9.84431678937549,10,9.99999999999999,10,10,10,10
"16",10,6.04661306321096,7.06781187487311,8.76842023409046,9.17847991538795,9.99999999999999,10,9.99999999999999,10,10
"17",10,9.99999999999999,10,8.2097792378789,9.33967317315453,10,10,10,9.99999999999999,10
"18",10,10,6.86025225545891,9.99999999999999,2.69585815167374,9.99999999999999,10,10,10,9.99999999999998
"19",9.99999999999999,10,9.2206060940221,8.97955746412298,10,10,9.99999999999999,10,10,10
"20",9.9178599541401,9.68867529360896,9.14192655173511,8.65999516898333,9.36971058461542,9.99999999999999,10,10,10,10
"21",9.99999999999999,10,9.99999999999999,9.99999999999999,0.585208112865124,9.99999999999999,10,10,10,9.99999999999999
"22",10,9.89692342515318,10,9.83002727546077,0.585208112865124,10,9.99999999999999,10,10,10
"23",9.99999999999999,9.57579211981878,8.99169769882369,9.26960341387161,0.585208112865125,10,10,9.99999999999999,10,10
"24",10,10,10,9.27715325978859,10,10,10,10,10,10
"25",10,9.99999999999998,8.29047219802209,9.81414694921797,0,10,10,9.99999999999999,10,10
"26",9.99999999999999,10,9.96884434948455,9.99999999999999,10,9.99999999999999,10,9.99999999999999,9.99999999999999,9.99999999999999
"27",9.95196388750196,10,9.52315228921208,7.83525869898888,0,10,10,10,9.99999999999999,10
"28",10,10,5.22086713288859,9.52416515590912,9.99999999999999,10,10,10,10,10
"29",10,5.94278945466374,7.93334478264233,6.63159863092248,9.14071093526033,9.99999999999998,10,10,10,10
"30",9.99999999999999,9.99999999999999,8.62360092092151,8.39566399185459,7.80899644162666,9.99999999999999,10,10,10,10
